#p,i,time[min],Nuc[0]*10^6,Nuc_distance[per],PVecCen[0][0]*10^6,PVecCen[0][2]*10^6,PVecCen[1][0]*10^6,PVecCen[1][2]*10^6,angle[rad],angel[degree]
0,12000,10.000000,1.268488,47.463024,-3.727134,-0.716092,6.264110,-0.315041,1.530678,87.701367
1,12000,10.000000,-0.781660,51.563320,4.207678,-0.082842,-5.770998,-0.516663,1.527349,87.510640
2,12000,10.000000,0.193896,49.612208,-4.770484,1.003304,5.158276,-0.125038,1.457638,83.516505
3,12000,10.000000,1.162208,47.675584,6.153094,0.385810,-3.828677,-0.183838,1.513789,86.733741
4,12000,10.000000,-0.806958,51.613915,4.188699,0.267980,-5.802614,-0.128717,1.531113,87.726310
5,12000,10.000000,0.162548,49.674903,5.154885,0.009881,-4.829788,-0.518322,1.517944,86.971797
6,12000,10.000000,0.677791,48.644418,-4.319577,-0.358065,5.675159,-0.535764,1.553019,88.981431
7,12000,10.000000,0.353531,49.292938,5.229777,1.815631,-4.522715,-0.337421,1.353512,77.550542
8,12000,10.000000,-0.835010,51.670019,-5.370096,1.562158,3.700077,-2.627185,1.138106,65.208667
9,12000,10.000000,1.322502,47.354996,6.299603,0.529166,-3.654599,-0.416370,1.476092,84.573832
10,12000,10.000000,0.267296,49.465408,-4.728635,0.374461,5.263227,0.329406,1.566287,89.741646
11,12000,10.000000,0.029568,49.940863,4.971648,0.944896,-4.912511,-0.564855,1.419223,81.315503
12,12000,10.000000,1.018845,47.962311,0.986029,5.198891,1.051660,-4.512655,0.006758,0.387201
13,12000,10.000000,0.782082,48.435836,-3.437075,3.025065,5.001239,-2.340832,1.004399,57.547850
14,12000,10.000000,0.295457,49.409086,5.260630,1.012815,-4.669715,0.017114,1.470862,84.274174
15,12000,10.000000,-0.380285,50.760570,-5.373345,0.655726,4.612775,0.486247,1.553826,89.027700
16,12000,10.000000,-0.740796,51.481593,-4.526096,3.101701,3.044503,-3.351256,0.864927,49.556694
17,12000,10.000000,-0.732647,51.465294,4.230013,-0.177599,-5.695307,-0.739812,1.514212,86.757986
18,12000,10.000000,-0.170361,50.340722,4.823700,-0.405611,-5.164422,-0.868856,1.524450,87.344549
19,12000,10.000000,0.066901,49.866199,-4.906535,0.058853,5.040336,-0.875111,1.477176,84.635926
20,12000,10.000000,0.769886,48.460228,-4.211842,0.859310,5.751613,0.005187,1.485280,85.100263
21,12000,10.000000,0.503249,48.993501,5.485012,-0.165931,-4.478514,0.154843,1.538613,88.156009
22,12000,10.000000,-0.303086,50.606172,-5.298304,-0.214099,4.692132,-0.625756,1.529614,87.640451
23,12000,10.000000,0.838568,48.322865,-4.161061,0.609812,5.838197,0.523520,1.562167,89.505557
24,12000,10.000000,0.063681,49.872637,5.058816,-0.044520,-4.931454,-0.482469,1.526987,87.489900
25,12000,10.000000,-1.569305,53.138609,-6.560251,0.266767,3.421642,-0.107075,1.533362,87.855160
26,12000,10.000000,0.120281,49.759439,5.111304,0.060679,-4.870743,-0.536469,1.511045,86.576521
27,12000,10.000000,-0.107968,50.215936,-5.107284,-0.018799,4.891348,-0.041326,1.568543,89.870912
28,12000,10.000000,-0.152179,50.304359,-4.486123,1.953246,4.181765,-3.012427,1.050556,60.192401
29,12000,10.000000,0.121583,49.756834,0.047777,5.008176,0.195389,-4.967885,0.014796,0.847722
30,12000,10.000000,-0.862946,51.725892,-0.687717,5.347243,-1.038176,-4.551880,0.035388,2.027596
31,12000,10.000000,-0.109921,50.219843,4.883008,-0.205561,-5.102850,-0.140205,1.564252,89.625012
32,12000,10.000000,-0.932678,51.865357,4.043545,0.613379,-5.908901,-0.267129,1.482555,84.944119
33,12000,10.000000,0.466174,49.067653,5.423941,0.384869,-4.491594,-0.891790,1.442747,82.663330
34,12000,10.000000,0.530297,48.939405,5.528955,0.146533,-4.468360,-0.029156,1.553224,88.993207
35,12000,10.000000,-0.382536,50.765072,-4.786345,2.105577,4.021273,-2.577595,1.082097,61.999601
36,12000,10.000000,0.251498,49.497005,-2.599838,3.841031,3.102833,-4.373338,0.606844,34.769590
37,12000,10.000000,0.084494,49.831013,4.530265,2.674825,-4.361278,-1.751660,1.108885,63.534454
38,12000,10.000000,0.186287,49.627427,5.134374,0.389129,-4.761801,-0.789594,1.452246,83.207559
39,12000,10.000000,0.447230,49.105540,-4.517261,0.694304,5.411721,-0.274084,1.473572,84.429482
40,12000,10.000000,-1.010768,52.021537,3.971882,0.534794,-5.993419,-0.293524,1.487867,85.248484
41,12000,10.000000,-1.007703,52.015407,-5.853844,0.665466,3.838437,-1.779960,1.323648,75.839446
42,12000,10.000000,-0.296349,50.592699,-5.282632,0.575624,4.689933,-0.144918,1.498669,85.867423
43,12000,10.000000,-1.034130,52.068260,-5.998215,1.153287,3.929955,-0.031776,1.451995,83.193167
44,12000,10.000000,0.120360,49.759281,5.119965,0.307269,-4.879246,0.258826,1.565952,89.722427
45,12000,10.000000,0.821937,48.356125,5.217251,1.943442,-3.573376,-2.759526,1.079544,61.853308
46,12000,10.000000,-0.301014,50.602029,-5.209966,0.584308,4.607937,-1.290182,1.382141,79.190848
47,12000,10.000000,-0.387624,50.775249,4.527214,0.775783,-5.302463,-0.977672,1.394269,79.885743
48,12000,10.000000,-0.384188,50.768376,4.368870,2.207630,-5.137246,-0.894189,1.255392,71.928640
49,12000,10.000000,0.273704,49.452593,5.228416,0.929237,-4.681009,-0.002461,1.477051,84.628761
