#aspect_ratio,Rad,RadS,spindle_length,time[sec],spindle_length/(Rad*2)
1.0,19.488,19.488,12.194,99.400000,0.313
1.1,20.766,18.878,14.334,131.600000,0.345
1.2,22.006,18.339,16.583,151.900000,0.377
1.3,23.212,17.856,18.919,171.050000,0.408
1.4,24.388,17.420,21.326,190.250000,0.437
1.5,25.536,17.024,23.787,209.750000,0.466
1.6,26.659,16.662,26.287,229.700000,0.493
1.7,27.758,16.328,28.814,250.100000,0.519
1.8,28.836,16.020,31.357,270.950000,0.544
1.9,29.895,15.734,33.906,292.300000,0.567
2.0,30.935,15.467,36.454,314.050000,0.589
2.1,31.957,15.218,38.992,336.200000,0.610
2.2,32.964,14.984,41.517,358.700000,0.630
2.3,33.955,14.763,44.024,381.550000,0.648
2.4,34.933,14.555,46.509,404.750000,0.666
2.5,35.896,14.359,48.969,428.200000,0.682
2.6,36.847,14.172,51.402,451.950000,0.698
2.7,37.786,13.995,53.807,475.950000,0.712
2.8,38.714,13.826,56.182,500.200000,0.726
2.9,39.630,13.665,58.528,524.650000,0.738
3.0,40.536,13.512,60.842,549.350000,0.750
