#aspect_ratio,Rad,RadS,spindle_length,time[sec],spindle_length/(Rad*2)
1.0,19.488,19.488,20.417,237.300000,0.524
1.1,20.766,18.878,21.213,236.600000,0.511
1.2,22.006,18.339,21.933,236.150000,0.498
1.3,23.212,17.856,22.588,235.800000,0.487
1.4,24.388,17.420,23.189,235.600000,0.475
1.5,25.536,17.024,23.744,235.500000,0.465
1.6,26.659,16.662,24.258,235.450000,0.455
1.7,27.758,16.328,24.737,235.500000,0.446
1.8,28.836,16.020,25.185,235.600000,0.437
1.9,29.895,15.734,25.606,235.750000,0.428
2.0,30.935,15.467,26.003,235.950000,0.420
2.1,31.957,15.218,26.378,236.150000,0.413
2.2,32.964,14.984,26.734,236.400000,0.406
2.3,33.955,14.763,27.072,236.650000,0.399
2.4,34.933,14.555,27.394,236.950000,0.392
2.5,35.896,14.359,27.702,237.200000,0.386
2.6,36.847,14.172,27.996,237.500000,0.380
2.7,37.786,13.995,28.278,237.800000,0.374
2.8,38.714,13.826,28.548,238.150000,0.369
2.9,39.630,13.665,28.809,238.450000,0.363
3.0,40.536,13.512,29.059,238.750000,0.358
