#p,(int)(i/100),time_sec,cen_distance*10^6,PVecCen[0][0]*10^6,PVecCen[0][2]*10^6,PVecCen[1][0]*10^6,PVecCen[1][2]*10^6
0,0,0.000000,14.189678,-7.094839,-0.000000,7.094839,0.000000
0,0,1.000000,15.043738,-7.521869,-0.000000,7.521869,0.000000
0,0,2.000000,15.844408,-7.922204,-0.000000,7.922204,0.000000
0,0,3.000000,16.595796,-8.297898,-0.000000,8.297898,0.000000
0,0,4.000000,17.301568,-8.650784,-0.000000,8.650784,0.000000
0,1,5.000000,17.965016,-8.982508,-0.000000,8.982508,0.000000
0,1,6.000000,18.589106,-9.294553,-0.000000,9.294553,0.000000
0,1,7.000000,19.176527,-9.588263,-0.000000,9.588263,0.000000
0,1,8.000000,19.729723,-9.864862,-0.000000,9.864862,0.000000
0,1,9.000000,20.250928,-10.125464,-0.000000,10.125464,0.000000
0,2,10.000000,20.742188,-10.371094,-0.000000,10.371094,0.000000
0,2,11.000000,21.205384,-10.602692,-0.000000,10.602692,0.000000
0,2,12.000000,21.642251,-10.821125,-0.000000,10.821125,0.000000
0,2,13.000000,22.054393,-11.027197,-0.000000,11.027197,0.000000
0,2,14.000000,22.443299,-11.221649,-0.000000,11.221649,0.000000
0,3,15.000000,22.810349,-11.405175,-0.000000,11.405175,0.000000
0,3,16.000000,23.156832,-11.578416,-0.000000,11.578416,0.000000
0,3,17.000000,23.483945,-11.741972,-0.000000,11.741972,0.000000
0,3,18.000000,23.792810,-11.896405,-0.000000,11.896405,0.000000
0,3,19.000000,24.084477,-12.042238,-0.000000,12.042238,0.000000
0,4,20.000000,24.359926,-12.179963,-0.000000,12.179963,0.000000
0,4,21.000000,24.620080,-12.310040,-0.000000,12.310040,0.000000
0,4,22.000000,24.865803,-12.432901,-0.000000,12.432901,0.000000
0,4,23.000000,25.097907,-12.548954,-0.000000,12.548954,0.000000
0,4,24.000000,25.317158,-12.658579,-0.000000,12.658579,0.000000
0,5,25.000000,25.524273,-12.762136,-0.000000,12.762136,0.000000
0,5,26.000000,25.719930,-12.859965,-0.000000,12.859965,0.000000
0,5,27.000000,25.904767,-12.952383,-0.000000,12.952383,0.000000
0,5,28.000000,26.079385,-13.039692,-0.000000,13.039692,0.000000
