#p,(int)(i/100),time_sec,cen_distance*10^6,PVecCen[0][0]*10^6,PVecCen[0][2]*10^6,PVecCen[1][0]*10^6,PVecCen[1][2]*10^6
4,0,0.000000,15.266776,-7.633388,-0.000000,7.633388,0.000000
4,0,1.000000,16.133156,-8.066578,-0.000000,8.066578,0.000000
4,0,2.000000,16.946192,-8.473096,-0.000000,8.473096,0.000000
4,0,3.000000,17.709957,-8.854978,-0.000000,8.854978,0.000000
4,0,4.000000,18.428085,-9.214043,-0.000000,9.214043,0.000000
4,1,5.000000,19.103837,-9.551918,-0.000000,9.551918,0.000000
4,1,6.000000,19.740148,-9.870074,-0.000000,9.870074,0.000000
4,1,7.000000,20.339678,-10.169839,-0.000000,10.169839,0.000000
4,1,8.000000,20.904847,-10.452423,-0.000000,10.452423,0.000000
4,1,9.000000,21.437862,-10.718931,-0.000000,10.718931,0.000000
4,2,10.000000,21.940748,-10.970374,-0.000000,10.970374,0.000000
4,2,11.000000,22.415367,-11.207684,-0.000000,11.207684,0.000000
4,2,12.000000,22.863437,-11.431719,-0.000000,11.431719,0.000000
4,2,13.000000,23.286548,-11.643274,-0.000000,11.643274,0.000000
4,2,14.000000,23.686174,-11.843087,-0.000000,11.843087,0.000000
4,3,15.000000,24.063686,-12.031843,-0.000000,12.031843,0.000000
4,3,16.000000,24.420362,-12.210181,-0.000000,12.210181,0.000000
4,3,17.000000,24.757396,-12.378698,-0.000000,12.378698,0.000000
4,3,18.000000,25.075902,-12.537951,-0.000000,12.537951,0.000000
4,3,19.000000,25.376925,-12.688463,-0.000000,12.688463,0.000000
4,4,20.000000,25.661447,-12.830723,-0.000000,12.830723,0.000000
4,4,21.000000,25.930386,-12.965193,-0.000000,12.965193,0.000000
4,4,22.000000,26.184608,-13.092304,-0.000000,13.092304,0.000000
4,4,23.000000,26.424927,-13.212464,-0.000000,13.212464,0.000000
4,4,24.000000,26.652110,-13.326055,-0.000000,13.326055,0.000000
4,5,25.000000,26.866878,-13.433439,-0.000000,13.433439,0.000000
4,5,26.000000,27.069912,-13.534956,-0.000000,13.534956,0.000000
4,5,27.000000,27.261854,-13.630927,-0.000000,13.630927,0.000000
4,5,28.000000,27.443312,-13.721656,-0.000000,13.721656,0.000000
4,5,29.000000,27.614856,-13.807428,-0.000000,13.807428,0.000000
4,6,30.000000,27.777028,-13.888514,-0.000000,13.888514,0.000000
4,6,31.000000,27.930338,-13.965169,-0.000000,13.965169,0.000000
4,6,32.000000,28.075270,-14.037635,-0.000000,14.037635,0.000000
4,6,33.000000,28.212278,-14.106139,-0.000000,14.106139,0.000000
4,6,34.000000,28.341795,-14.170898,-0.000000,14.170898,0.000000
4,7,35.000000,28.464229,-14.232114,-0.000000,14.232114,0.000000
4,7,36.000000,28.579963,-14.289982,-0.000000,14.289982,0.000000
4,7,37.000000,28.689364,-14.344682,-0.000000,14.344682,0.000000
4,7,38.000000,28.792776,-14.396388,-0.000000,14.396388,0.000000
4,7,39.000000,28.890525,-14.445263,-0.000000,14.445263,0.000000
4,8,40.000000,28.982920,-14.491460,-0.000000,14.491460,0.000000
4,8,41.000000,29.070252,-14.535126,-0.000000,14.535126,0.000000
4,8,42.000000,29.152797,-14.576398,-0.000000,14.576398,0.000000
4,8,43.000000,29.230816,-14.615408,-0.000000,14.615408,0.000000
4,8,44.000000,29.304556,-14.652278,-0.000000,14.652278,0.000000
4,9,45.000000,29.374250,-14.687125,-0.000000,14.687125,0.000000
4,9,46.000000,29.440120,-14.720060,-0.000000,14.720060,0.000000
4,9,47.000000,29.502373,-14.751187,-0.000000,14.751187,0.000000
4,9,48.000000,29.561209,-14.780604,-0.000000,14.780604,0.000000
4,9,49.000000,29.616813,-14.808406,-0.000000,14.808406,0.000000
4,10,50.000000,29.669362,-14.834681,-0.000000,14.834681,0.000000
4,10,51.000000,29.719023,-14.859512,-0.000000,14.859512,0.000000
4,10,52.000000,29.765955,-14.882978,-0.000000,14.882978,0.000000
4,10,53.000000,29.810307,-14.905153,-0.000000,14.905153,0.000000
4,10,54.000000,29.852219,-14.926110,-0.000000,14.926110,0.000000
4,11,55.000000,29.891826,-14.945913,-0.000000,14.945913,0.000000
4,11,56.000000,29.929255,-14.964627,-0.000000,14.964627,0.000000
4,11,57.000000,29.964624,-14.982312,-0.000000,14.982312,0.000000
4,11,58.000000,29.998046,-14.999023,-0.000000,14.999023,0.000000
4,11,59.000000,30.029628,-15.014814,-0.000000,15.014814,0.000000
4,12,60.000000,30.059472,-15.029736,-0.000000,15.029736,0.000000
4,12,61.000000,30.087673,-15.043836,-0.000000,15.043836,0.000000
4,12,62.000000,30.114320,-15.057160,-0.000000,15.057160,0.000000
4,12,63.000000,30.139499,-15.069750,-0.000000,15.069750,0.000000
4,12,64.000000,30.163292,-15.081646,-0.000000,15.081646,0.000000
4,13,65.000000,30.185773,-15.092887,-0.000000,15.092887,0.000000
4,13,66.000000,30.207016,-15.103508,-0.000000,15.103508,0.000000
4,13,67.000000,30.227088,-15.113544,-0.000000,15.113544,0.000000
4,13,68.000000,30.246054,-15.123027,-0.000000,15.123027,0.000000
4,13,69.000000,30.263974,-15.131987,-0.000000,15.131987,0.000000
4,14,70.000000,30.280906,-15.140453,-0.000000,15.140453,0.000000
4,14,71.000000,30.296905,-15.148453,-0.000000,15.148453,0.000000
4,14,72.000000,30.312022,-15.156011,-0.000000,15.156011,0.000000
4,14,73.000000,30.326305,-15.163152,-0.000000,15.163152,0.000000
4,14,74.000000,30.339800,-15.169900,-0.000000,15.169900,0.000000
4,15,75.000000,30.352551,-15.176275,-0.000000,15.176275,0.000000
4,15,76.000000,30.364599,-15.182299,-0.000000,15.182299,0.000000
4,15,77.000000,30.375982,-15.187991,-0.000000,15.187991,0.000000
4,15,78.000000,30.386737,-15.193368,-0.000000,15.193368,0.000000
4,15,79.000000,30.396898,-15.198449,-0.000000,15.198449,0.000000
4,16,80.000000,30.406499,-15.203250,-0.000000,15.203250,0.000000
4,16,81.000000,30.415571,-15.207785,-0.000000,15.207785,0.000000
4,16,82.000000,30.424141,-15.212071,-0.000000,15.212071,0.000000
4,16,83.000000,30.432239,-15.216120,-0.000000,15.216120,0.000000
4,16,84.000000,30.439890,-15.219945,-0.000000,15.219945,0.000000
4,17,85.000000,30.447119,-15.223559,-0.000000,15.223559,0.000000
4,17,86.000000,30.453948,-15.226974,-0.000000,15.226974,0.000000
4,17,87.000000,30.460401,-15.230201,-0.000000,15.230201,0.000000
4,17,88.000000,30.466498,-15.233249,-0.000000,15.233249,0.000000
4,17,89.000000,30.472258,-15.236129,-0.000000,15.236129,0.000000
4,18,90.000000,30.477700,-15.238850,-0.000000,15.238850,0.000000
4,18,91.000000,30.482841,-15.241421,-0.000000,15.241421,0.000000
4,18,92.000000,30.487699,-15.243850,-0.000000,15.243850,0.000000
4,18,93.000000,30.492289,-15.246144,-0.000000,15.246144,0.000000
4,18,94.000000,30.496625,-15.248313,-0.000000,15.248313,0.000000
4,19,95.000000,30.500722,-15.250361,-0.000000,15.250361,0.000000
4,19,96.000000,30.504593,-15.252296,-0.000000,15.252296,0.000000
4,19,97.000000,30.508250,-15.254125,-0.000000,15.254125,0.000000
4,19,98.000000,30.511705,-15.255852,-0.000000,15.255852,0.000000
4,19,99.000000,30.514969,-15.257484,-0.000000,15.257484,0.000000
4,20,100.000000,30.518053,-15.259027,-0.000000,15.259027,0.000000
4,20,101.000000,30.520967,-15.260483,-0.000000,15.260483,0.000000
4,20,102.000000,30.523720,-15.261860,-0.000000,15.261860,0.000000
4,20,103.000000,30.526321,-15.263160,-0.000000,15.263160,0.000000
4,20,104.000000,30.528778,-15.264389,-0.000000,15.264389,0.000000
4,21,105.000000,30.531099,-15.265550,-0.000000,15.265550,0.000000
4,21,106.000000,30.533293,-15.266646,-0.000000,15.266646,0.000000
4,21,107.000000,30.535365,-15.267682,-0.000000,15.267682,0.000000
4,21,108.000000,30.537323,-15.268661,-0.000000,15.268661,0.000000
4,21,109.000000,30.539172,-15.269586,-0.000000,15.269586,0.000000
4,22,110.000000,30.540920,-15.270460,-0.000000,15.270460,0.000000
4,22,111.000000,30.542571,-15.271285,-0.000000,15.271285,0.000000
4,22,112.000000,30.544131,-15.272065,-0.000000,15.272065,0.000000
4,22,113.000000,30.545605,-15.272802,-0.000000,15.272802,0.000000
4,22,114.000000,30.546997,-15.273498,-0.000000,15.273498,0.000000
4,23,115.000000,30.548312,-15.274156,-0.000000,15.274156,0.000000
4,23,116.000000,30.549555,-15.274778,-0.000000,15.274778,0.000000
4,23,117.000000,30.550729,-15.275365,-0.000000,15.275365,0.000000
4,23,118.000000,30.551838,-15.275919,-0.000000,15.275919,0.000000
4,23,119.000000,30.552887,-15.276443,-0.000000,15.276443,0.000000
4,24,120.000000,30.553877,-15.276938,-0.000000,15.276938,0.000000
4,24,121.000000,30.554812,-15.277406,-0.000000,15.277406,0.000000
4,24,122.000000,30.555696,-15.277848,-0.000000,15.277848,0.000000
4,24,123.000000,30.556531,-15.278265,-0.000000,15.278265,0.000000
4,24,124.000000,30.557320,-15.278660,-0.000000,15.278660,0.000000
4,25,125.000000,30.558065,-15.279033,-0.000000,15.279033,0.000000
4,25,126.000000,30.558769,-15.279385,-0.000000,15.279385,0.000000
4,25,127.000000,30.559434,-15.279717,-0.000000,15.279717,0.000000
4,25,128.000000,30.560063,-15.280031,-0.000000,15.280031,0.000000
4,25,129.000000,30.560657,-15.280328,-0.000000,15.280328,0.000000
4,26,130.000000,30.561218,-15.280609,-0.000000,15.280609,0.000000
4,26,131.000000,30.561748,-15.280874,-0.000000,15.280874,0.000000
4,26,132.000000,30.562249,-15.281124,-0.000000,15.281124,0.000000
4,26,133.000000,30.562722,-15.281361,-0.000000,15.281361,0.000000
4,26,134.000000,30.563169,-15.281584,-0.000000,15.281584,0.000000
4,27,135.000000,30.563591,-15.281795,-0.000000,15.281795,0.000000
4,27,136.000000,30.563990,-15.281995,-0.000000,15.281995,0.000000
4,27,137.000000,30.564367,-15.282183,-0.000000,15.282183,0.000000
4,27,138.000000,30.564723,-15.282361,-0.000000,15.282361,0.000000
4,27,139.000000,30.565059,-15.282530,-0.000000,15.282530,0.000000
4,28,140.000000,30.565377,-15.282689,-0.000000,15.282689,0.000000
4,28,141.000000,30.565677,-15.282839,-0.000000,15.282839,0.000000
4,28,142.000000,30.565961,-15.282980,-0.000000,15.282980,0.000000
4,28,143.000000,30.566229,-15.283115,-0.000000,15.283115,0.000000
4,28,144.000000,30.566482,-15.283241,-0.000000,15.283241,0.000000
4,29,145.000000,30.566721,-15.283361,-0.000000,15.283361,0.000000
4,29,146.000000,30.566948,-15.283474,-0.000000,15.283474,0.000000
4,29,147.000000,30.567161,-15.283581,-0.000000,15.283581,0.000000
