name,long axis,short axis,aspect ratio,distance between centrosome,Sec,distance from centrosome/long axis,alive,
TH27_170206to_01max8bit,44.911,25.475,1.763,21.841,68,0.486,+,
TH27_170207to_02max8bit,47.495,26.909,1.765,22.472,312,0.473,+,
TH27_170207to_03max8bit,47.144,26.116,1.805,21.528,150,0.457,+,
TH27_170207to_04max8bit,48.601,25.443,1.910,22.159,136,0.456,+,
TH27_170207to_05max8bit,45.202,27.256,1.658,21.243,128,0.470,+,
TH27_170302to_02max8bit,48.772,27.733,1.759,21.467,168,0.440,+,
TH27_170302to_03max8bit,48.939,26.379,1.855,20.380,322,0.416,+,
TH27_170302to_05max8bit,47.621,25.913,1.838,18.423,130,0.387,+,
TH27+dpy-11_170214to_02max8bit,47.053,30.067,1.565,22.549,214,0.479,+,
TH27+dpy-11_170214to_05max8bit,41.989,28.026,1.498,18.005,76,0.429,+,
TH27+dpy-11_170214to_07max8bit,43.549,27.324,1.594,22.226,14,0.510,+-,
TH27+dpy-11_170214to_08max8bit,45.041,25.384,1.774,20.946,118,0.465,+-,
TH27+dpy-11_170214to_09max8bit,42.181,28.419,1.484,19.662,88,0.466,+-,
TH27+dpy-11_170214to_10max8bit,39.563,27.206,1.454,18.217,110,0.460,+,
TH27+dpy-11_170214to_11max8bit,39.910,29.567,1.350,18.584,148,0.466,+,
TH27+dpy-11_170228to_01max8bit,42.775,26.852,1.593,19.686,130,0.460,+,
TH27+dpy-11_170228to_04max8bit,41.524,28.265,1.469,19.216,26,0.463,+-,
TH27+dpy-11_170228to_05max8bit,41.342,28.210,1.466,17.249,48,0.417,+-,
TH27+dpy-11_170228to_07max8bit,43.858,28.260,1.552,19.806,106,0.452,+,
TH27+dpy-11_170228to_09max8bit,42.932,27.589,1.556,19.085,8,0.445,+-,
TH27+dpy-11_170301to_01max8bit,44.181,27.695,1.595,19.509,188,0.442,+,
CAL1628+C27D9.1_170222to_02max8bit,57.915,28.919,2.003,24.329,100,0.420,+,
CAL1628+C27D9.1_170222to_03max8bit,56.551,29.235,1.934,27.352,198,0.484,+-,
CAL1628+C27D9.1_170302to_01max8bit,56.133,31.207,1.799,24.748,108,0.441,+-,
CAL1628+C27D9.1_170302to_02max8bit,51.638,29.504,1.750,24.123,206,0.467,+,
CAL1628+C27D9.1_170302to_04max8bit,53.317,31.110,1.714,21.844,110,0.410,+-,
CAL1628+C27D9.1_170309to_03max8bit,57.972,27.579,2.102,23.636,98,0.408,+,
CAL1628+C27D9.1_170310to_01max8bit,62.179,29.718,2.092,29.573,64,0.476,+-,
CAL1628+C27D9.1_170310to_02max8bit,57.913,29.207,1.983,25.862,204,0.447,+,
CAL1628+C27D9.1_170324to_01max8bit,50.505,27.879,1.812,23.816,72,0.472,+-,
CAL1628+C27D9.1_170324to_02max8bit,49.263,27.474,1.793,21.997,192,0.447,+,
CAL1628+C27D9.1_170324to_04max8bit,49.693,25.060,1.983,21.817,164,0.439,+,
TH32_170201to_04max8bit,40.954,27.606,1.484,19.298,44,0.471,+-,
TH32_170202to_01max8bit,45.169,28.852,1.566,19.786,82,0.438,+-,
TH32_170203to_01max8it,45.461,26.670,1.705,20.126,99,0.443,+-,
TH32_170206to_02max8bit,43.834,27.545,1.591,21.054,91,0.480,+-,
TH32_170904ko_1,326.345,218.229,1.495,134.060,111,0.411,+,
