#aspect_ratio,Rad,RadS,MetaSpindle_L,spindle_length,time[sec],spindle_length/(Rad*2)
1.0,19.488,19.488,11.310,12.194,110.500000,0.313
1.1,20.766,18.878,11.513,14.334,133.800000,0.345
1.2,22.006,18.339,11.710,16.583,153.050000,0.377
1.3,23.212,17.856,11.903,18.919,171.800000,0.408
1.4,24.388,17.420,12.090,21.326,190.750000,0.437
1.5,25.536,17.024,12.272,23.787,210.100000,0.466
1.6,26.659,16.662,12.451,26.287,229.950000,0.493
1.7,27.758,16.328,12.626,28.814,250.250000,0.519
1.8,28.836,16.020,12.798,31.357,271.050000,0.544
1.9,29.895,15.734,12.966,33.906,292.350000,0.567
2.0,30.935,15.467,13.132,36.454,314.050000,0.589
2.1,31.957,15.218,13.295,38.992,336.150000,0.610
2.2,32.964,14.984,13.455,41.517,358.600000,0.630
2.3,33.955,14.763,13.613,44.024,381.450000,0.648
2.4,34.933,14.555,13.768,46.509,404.600000,0.666
2.5,35.896,14.359,13.922,48.969,428.050000,0.682
2.6,36.847,14.172,14.073,51.402,451.750000,0.698
2.7,37.786,13.995,14.223,53.807,475.750000,0.712
2.8,38.714,13.826,14.370,56.182,499.950000,0.726
2.9,39.630,13.665,14.516,58.528,524.400000,0.738
3.0,40.536,13.512,14.660,60.842,549.050000,0.750
