#p,(int)(i/100),time_sec,cen_distance*10^6,PVecCen[0][0]*10^6,PVecCen[0][2]*10^6,PVecCen[1][0]*10^6,PVecCen[1][2]*10^6
0,0,0.000000,14.704174,-7.352087,-0.000000,7.352087,0.000000
0,0,1.000000,15.550451,-7.775226,-0.000000,7.775226,0.000000
0,0,2.000000,16.343986,-8.171993,-0.000000,8.171993,0.000000
0,0,3.000000,17.088823,-8.544411,-0.000000,8.544411,0.000000
0,0,4.000000,17.788572,-8.894286,-0.000000,8.894286,0.000000
0,1,5.000000,18.446478,-9.223239,-0.000000,9.223239,0.000000
0,1,6.000000,19.065465,-9.532732,-0.000000,9.532732,0.000000
0,1,7.000000,19.648185,-9.824092,-0.000000,9.824092,0.000000
0,1,8.000000,20.197049,-10.098525,-0.000000,10.098525,0.000000
0,1,9.000000,20.714261,-10.357131,-0.000000,10.357131,0.000000
0,2,10.000000,21.201841,-10.600921,-0.000000,10.600921,0.000000
0,2,11.000000,21.661646,-10.830823,-0.000000,10.830823,0.000000
0,2,12.000000,22.095389,-11.047694,-0.000000,11.047694,0.000000
0,2,13.000000,22.504654,-11.252327,-0.000000,11.252327,0.000000
0,2,14.000000,22.890912,-11.445456,-0.000000,11.445456,0.000000
0,3,15.000000,23.255526,-11.627763,-0.000000,11.627763,0.000000
0,3,16.000000,23.599768,-11.799884,-0.000000,11.799884,0.000000
0,3,17.000000,23.924824,-11.962412,-0.000000,11.962412,0.000000
0,3,18.000000,24.231801,-12.115901,-0.000000,12.115901,0.000000
0,3,19.000000,24.521736,-12.260868,-0.000000,12.260868,0.000000
0,4,20.000000,24.795599,-12.397800,-0.000000,12.397800,0.000000
0,4,21.000000,25.054302,-12.527151,-0.000000,12.527151,0.000000
0,4,22.000000,25.298699,-12.649349,-0.000000,12.649349,0.000000
0,4,23.000000,25.529593,-12.764797,-0.000000,12.764797,0.000000
0,4,24.000000,25.747741,-12.873870,-0.000000,12.873870,0.000000
0,5,25.000000,25.953853,-12.976927,-0.000000,12.976927,0.000000
0,5,26.000000,26.148599,-13.074300,-0.000000,13.074300,0.000000
0,5,27.000000,26.332611,-13.166305,-0.000000,13.166305,0.000000
0,5,28.000000,26.506482,-13.253241,-0.000000,13.253241,0.000000
0,5,29.000000,26.670774,-13.335387,-0.000000,13.335387,0.000000
0,6,30.000000,26.826015,-13.413008,-0.000000,13.413008,0.000000
0,6,31.000000,26.972707,-13.486353,-0.000000,13.486353,0.000000
0,6,32.000000,27.111319,-13.555659,-0.000000,13.555659,0.000000
0,6,33.000000,27.242296,-13.621148,-0.000000,13.621148,0.000000
0,6,34.000000,27.366060,-13.683030,-0.000000,13.683030,0.000000
0,7,35.000000,27.483006,-13.741503,-0.000000,13.741503,0.000000
0,7,36.000000,27.593511,-13.796756,-0.000000,13.796756,0.000000
0,7,37.000000,27.697928,-13.848964,-0.000000,13.848964,0.000000
0,7,38.000000,27.796592,-13.898296,-0.000000,13.898296,0.000000
0,7,39.000000,27.889818,-13.944909,-0.000000,13.944909,0.000000
0,8,40.000000,27.977907,-13.988954,-0.000000,13.988954,0.000000
